ticker,date,open,close,high,low,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
MSFT,2017-05-17,68.89,67.48,69.1,67.43,29964198,,,,,,,
MSFT,2017-05-18,67.4,67.71,68.13,67.14,24789790,,,,,,,
MSFT,2017-05-19,67.5,67.69,68.095,67.43,26496478,,,,,,,
MSFT,2017-05-22,67.89,68.45,68.5,67.5,15484530,,,,,,,
MSFT,2017-05-23,68.72,68.68,68.75,68.38,15347877,,,,,,,
MSFT,2017-05-24,68.87,68.77,68.88,68.45,14422965,,,,,,,
MSFT,2017-05-25,68.97,69.62,69.88,68.91,21702912,,,,,,,
MSFT,2017-05-26,69.8,69.97,70.22,69.52,19644260,,,,,,,
MSFT,2017-05-30,69.79,70.41,70.41,69.77,16901792,,,,,,,
MSFT,2017-05-31,70.53,69.84,70.74,69.81,29538356,,,,,,,
MSFT,2017-06-01,70.24,70.1,70.61,69.451,21066468,,,,,,,
MSFT,2017-06-02,70.44,71.76,71.86,70.24,34586054,,,,,,,
MSFT,2017-06-05,71.97,72.28,72.89,71.81,29507429,,,,,,,
MSFT,2017-06-06,72.3,72.52,72.62,72.27,31220057,,,,,,,
